scenario,K,rep,n_min,rmse_oracle,rmse_vaneb,rmse_npeb,rmse_adamix,vaneb_time,npeb_time
poisson,800,24,40,1.352349649349126,1.394214073854699,1.4843059178750868,1.8573369820647205,97.6840181350708,4.9306254386901855
poisson,800,25,40,1.3270312194858858,1.362985872713673,1.4480870846836384,1.7163344803844038,95.77670931816101,2.1019134521484375
poisson,800,26,40,1.3434220235329293,1.3287318151051426,1.41589508582693,1.7586284056760975,105.98386573791504,7.212586164474487
poisson,800,27,40,1.393749194664895,1.3788335619071797,1.4129886951446882,1.7701041884925488,92.7445604801178,1.9551386833190918
