scenario,K,rep,n_min,rmse_oracle,rmse_vaneb,rmse_npeb,rmse_adamix,vaneb_time,npeb_time
poisson,200,8,10,1.9099671868832828,2.509605434744654,4.094984850288803,4.653029447575391,5.149834871292114,0.23266935348510742
poisson,200,9,10,1.8511718088060114,2.557478751134958,3.9867544793242913,4.588121019612369,4.973829507827759,0.23136234283447266
poisson,200,10,10,1.8746383477999562,4.207780866297006,4.817329701196909,5.235589595373111,4.7725510597229,0.22206974029541016
poisson,200,11,10,1.8386316713424606,1.964307399779337,3.3312358322059397,4.189607022159932,5.086641550064087,0.22665095329284668
