scenario,K,rep,n_min,rmse_oracle,rmse_vaneb,rmse_npeb,rmse_adamix,rmse_fedavg,rmse_nocomm,vaneb_time,npeb_time,fedavg_time,nocomm_time
quadratic,3200,30,5,0.7612434886356194,0.6819959825066125,0.9674303302365985,0.9206544843945448,2.656769151651886,1.011986730560114,417.9616804122925,36.9337944984436,0.0014798641204833984,5.0067901611328125e-06
quadratic,3200,31,5,0.7543151145243535,0.672950273546615,0.9869584240226922,0.91780282168613,2.6810260922481404,1.0094802465413926,429.74902629852295,36.872273683547974,0.0014772415161132812,4.291534423828125e-06
quadratic,3200,32,5,0.7481418323360957,0.6708206917307404,0.9667650076447146,0.9157703710766038,2.687468869140481,1.008292500650009,432.3746807575226,36.28046774864197,0.0014629364013671875,4.5299530029296875e-06
quadratic,3200,33,5,0.8122957662384768,0.7066241046238216,1.018070572571788,0.9418416289119984,2.7202720357135464,1.0412215126003657,434.5756630897522,36.20158338546753,0.0014548301696777344,4.291534423828125e-06
quadratic,3200,34,5,0.7813091619273718,0.6827886293383927,0.9660803701779098,0.9189324927031365,2.701145730855453,1.0181101555775267,446.99276757240295,41.470895528793335,0.0015010833740234375,4.5299530029296875e-06
