scenario,K,rep,n_min,rmse_oracle,rmse_vaneb,rmse_npeb,rmse_adamix,rmse_fedavg,rmse_nocomm,vaneb_time,npeb_time,fedavg_time,nocomm_time
logistic,50,0,5,1.5671324181062252,3.661447146167406,2.292025823981946,3.6515538426118446,2.9413587777840893,4.300668663459176,0.19405412673950195,0.04532599449157715,0.00013685226440429688,1.1920928955078125e-06
logistic,50,1,5,2.3719919120014157,4.5596603601476025,2.7804647877224307,4.4284944936896355,2.980854989255695,5.2553747900864565,0.621129035949707,0.03618001937866211,0.00010085105895996094,0.0
logistic,50,2,5,2.281092565921378,3.7484976893077575,2.4938650771690343,3.863681130663293,2.849669748251685,4.851518059495424,0.35994791984558105,0.03833603858947754,0.00026106834411621094,0.0
logistic,50,3,5,2.2120452031986058,6.252451457105966,3.0747905011381826,4.464598522414553,2.8290838433962247,5.442730296726632,0.2709629535675049,0.022489070892333984,0.00010514259338378906,9.5367431640625e-07
logistic,50,4,5,2.1195062026349896,3.704657054014543,2.2811978784222657,3.700890776842404,2.6655096088062833,4.297661978108504,0.22543787956237793,0.04381513595581055,0.0002617835998535156,0.0
logistic,50,5,5,2.322990262789672,3.571930185063822,3.2486196857318155,4.297310470016903,2.6801591520204298,5.3622565026179485,0.3658790588378906,0.04669189453125,0.00011992454528808594,0.0
logistic,50,6,5,2.2243000987923756,3.6407295831741253,2.5145036481289678,3.7311978539139314,2.948879917214031,4.599971629388357,0.32733917236328125,0.04186701774597168,0.0003619194030761719,7.152557373046875e-07
logistic,50,7,5,2.070692564894558,2.877693672446788,2.346340459544647,2.9061240163564674,2.4243748359336523,3.5962270688501357,0.26088809967041016,0.03584909439086914,0.0002429485321044922,9.5367431640625e-07
logistic,50,8,5,1.9516756650253213,4.193317758838852,2.848327614967868,4.12495574167987,2.8070768301888034,5.2760744510092366,0.42203283309936523,0.056549787521362305,0.0002548694610595703,7.152557373046875e-07
logistic,50,9,5,2.321880740925477,3.3194496677605057,2.5629351296665295,3.540326190388214,2.740364208668333,4.753729416084028,0.2605748176574707,0.025887012481689453,0.0001609325408935547,0.0
