scenario,K,rep,n_min,rmse_oracle,rmse_vaneb,rmse_npeb,rmse_adamix,rmse_fedavg,rmse_nocomm,vaneb_time,npeb_time,fedavg_time,nocomm_time
poisson,200,165,40,1.400995899060288,1.474264440786333,1.5178047056114978,1.8441205889253705,1.8552736951168025,2.2842200801022434,6.843294620513916,0.27433276176452637,0.0005321502685546875,1.430511474609375e-06
poisson,200,166,40,1.4036864384955032,1.4731221943706254,1.5456783675193069,1.8937068847926306,1.8420355931149164,2.361396356712977,6.970869779586792,0.2726149559020996,0.0005178451538085938,1.6689300537109375e-06
poisson,200,167,40,1.351594408934578,1.4630859108176555,1.546747334312425,1.8124636515107744,1.8738721094701611,2.314716294158776,6.6361377239227295,0.2895679473876953,0.0005154609680175781,1.430511474609375e-06
poisson,200,168,40,1.3011711164408035,1.401893092137133,1.4343767113831933,1.730192360293728,1.8793781854235425,2.171620223617176,6.925886869430542,0.26499319076538086,0.0005323886871337891,1.6689300537109375e-06
poisson,200,169,40,1.326516924435006,1.3072358711043788,1.3840687739198796,1.7672110284374059,1.8624842165462092,2.2531402149177318,6.702713489532471,0.2678816318511963,0.0005176067352294922,1.6689300537109375e-06
