k,rep,nmin,rmse_oracle,rmse_npeb,rmse_adamix,oracle_runtime_sec,npeb_runtime_sec
200,0,100,0.4280808255337367,0.3739341302645572,0.3738717559854085,0.003924131393432617,1.4853439331054688
200,1,100,0.41986842377841077,0.3605091720866884,0.36046582396024585,0.003977060317993164,1.4732310771942139
200,2,100,0.48619062508878624,0.3959708149656709,0.395913322470392,0.003492116928100586,1.5865428447723389
200,3,100,0.3726244352891623,0.33271799109388916,0.3326455754463809,0.0040051937103271484,1.5993099212646484
200,4,100,0.4410365750110652,0.35786258271112537,0.3578009677455749,0.004636049270629883,1.5968530178070068
200,5,100,0.3916655722178991,0.321380896880634,0.32132300995298835,0.0032770633697509766,1.554663896560669
200,6,100,0.39538871770096007,0.34268988649875626,0.3426162958379617,0.003489971160888672,1.6325008869171143
200,7,100,0.4302598861419543,0.38033035407270144,0.3802232779608215,0.0035898685455322266,1.580009937286377
200,8,100,0.4753277440891109,0.39403014817088683,0.39397980852239317,0.003606081008911133,1.7053310871124268
200,9,100,0.39528156370052386,0.35192138657655264,0.3518152670782213,0.004287004470825195,1.6313841342926025
200,10,100,0.41375104052313494,0.3661068852801652,0.3660300206914208,0.0030252933502197266,1.6721088886260986
200,11,100,0.3676620144309377,0.33011527199821505,0.3300624036451546,0.003348112106323242,1.656322956085205
200,12,100,0.39402110536979446,0.3387548665336578,0.3386824286416252,0.005219936370849609,1.6367242336273193
200,13,100,0.5242834128823501,0.4422394925922935,0.4421437452057675,0.0034029483795166016,1.6398756504058838
200,14,100,0.39091715600617744,0.33038705014246184,0.33034052361333544,0.0036406517028808594,1.6362979412078857
200,15,100,0.4241130999225651,0.3809974529768164,0.3809340744809903,0.0033159255981445312,1.68119215965271
200,16,100,0.42742286061136486,0.36070712082671647,0.3605949462582651,0.003320932388305664,1.5599610805511475
200,17,100,0.39163903993970284,0.3362631944331295,0.336180992565962,0.0032587051391601562,1.4989712238311768
200,18,100,0.37857823208753927,0.3237918867487488,0.32372874002288005,0.0032842159271240234,1.5191988945007324
200,19,100,0.41570528974410514,0.33951016657814975,0.33945660426953933,0.0030770301818847656,1.5212738513946533
200,20,100,0.44139954524387254,0.37713233884190656,0.3770573154012546,0.0032958984375,1.6739931106567383
200,21,100,0.4946421580811437,0.4246320979341056,0.42453909408791385,0.003914833068847656,1.449052333831787
200,22,100,0.43294148089733747,0.39741201561845724,0.39734468833723724,0.003422975540161133,1.5530741214752197
200,23,100,0.4504186030206443,0.3855691019038482,0.38551183128390554,0.0030028820037841797,1.5304460525512695
200,24,100,0.3986475613621182,0.3388820533053309,0.3388082513674525,0.003278017044067383,1.5042357444763184
200,25,100,0.400090658256981,0.3500436194431608,0.34995101116859056,0.0032188892364501953,1.5254127979278564
200,26,100,0.4367648185049498,0.37645565954726956,0.37637646335159836,0.003313779830932617,1.572951078414917
200,27,100,0.4239826946983015,0.3685566201658958,0.3684500154515972,0.003339052200317383,1.4881300926208496
200,28,100,0.3965479117353875,0.3408604100308672,0.34080386298403637,0.003156900405883789,1.5169649124145508
200,29,100,0.400050101269087,0.34488034801960804,0.3448426633426119,0.003220081329345703,1.516118049621582
200,30,100,0.4491951415246247,0.367210724123355,0.3671799419818745,0.003298044204711914,1.5692329406738281
200,31,100,0.3153809089331398,0.25287048329022993,0.2528496256724562,0.0032699108123779297,1.5501728057861328
200,32,100,0.3796437833701988,0.32534944797731113,0.3252895137201053,0.00341796875,1.5233688354492188
200,33,100,0.4765084190601836,0.4284246213968808,0.4283333557867824,0.003262042999267578,1.4988751411437988
200,34,100,0.40948651537704156,0.33831358652259624,0.3382405924288586,0.0033168792724609375,1.5380702018737793
200,35,100,0.36192156987247276,0.3244232699075683,0.32430737990290265,0.0033588409423828125,1.4947509765625
200,36,100,0.40945002371985306,0.3387051555643324,0.33867810035046353,0.003154277801513672,1.5506877899169922
200,37,100,0.349991868450072,0.3119095828384033,0.3118880235320712,0.0034728050231933594,1.554948091506958
200,38,100,0.4446793444234153,0.38025806104145565,0.3801884677177962,0.0033092498779296875,1.5848770141601562
200,39,100,0.425074724594633,0.371649429494318,0.3715919790148452,0.0033462047576904297,1.4804019927978516
200,40,100,0.42942857163551085,0.3700407756235042,0.3699294310709003,0.0031189918518066406,1.408336877822876
200,41,100,0.3720408439411289,0.3275636589998196,0.3275255334931512,0.0030591487884521484,1.3844859600067139
200,42,100,0.42030206727369174,0.34838335814493726,0.34834044992037605,0.003255128860473633,1.3603928089141846
200,43,100,0.4530127765406052,0.38442499293639965,0.38440212821616326,0.003161907196044922,1.3822920322418213
200,44,100,0.36893471887770424,0.3059742883841817,0.30591292700473977,0.0032362937927246094,1.2910346984863281
200,45,100,0.3575538797968395,0.311352587956989,0.31128350270508187,0.0032269954681396484,1.3790850639343262
200,46,100,0.439775978707582,0.36699550462502684,0.36697898801034956,0.00398707389831543,1.340132236480713
200,47,100,0.41857579653090643,0.35112627524674106,0.3510670267787699,0.003304004669189453,1.3559529781341553
200,48,100,0.41389693273195377,0.35851799725198213,0.35847156644039374,0.00308990478515625,1.3762221336364746
200,49,100,0.4231801019721599,0.3730602969905072,0.3729697103169898,0.0029010772705078125,1.3883249759674072
