scenario,K,rep,n_min,rmse_oracle,rmse_vaneb,rmse_npeb,rmse_adamix,rmse_fedavg,rmse_nocomm,vaneb_time,npeb_time,fedavg_time,nocomm_time
logistic,800,132,40,0.4499249637910162,0.6681234148929591,0.6545316384284968,0.6320646602869966,2.7163546050227434,0.872349857907746,270.0000777244568,2.33828067779541,0.000732421875,1.6689300537109375e-06
logistic,800,133,40,0.4699397679898062,0.6605955097210792,0.6019059321761155,0.6503975899369804,2.720641772972898,0.8706178231881351,258.81091833114624,2.338118553161621,0.0007212162017822266,1.430511474609375e-06
logistic,800,134,40,0.45423722546978135,0.610113248683419,0.599988028462907,0.6235527763576362,2.7389400046912504,0.8303892668404813,264.4851975440979,2.289700508117676,0.0006682872772216797,1.9073486328125e-06
logistic,800,135,40,0.4611108588018044,0.6484306714035705,0.6125828345154142,0.635037202382526,2.684509666218046,0.8682748772284226,275.77363204956055,2.561009407043457,0.0006999969482421875,1.6689300537109375e-06
