k,rep,rmse_oracle,rmse_npeb,rmse_adamix,oracle_runtime_sec,npeb_runtime_sec
25,0,0.2033761609246622,0.2432919885331469,0.2237127215392847,0.001068115234375,0.0445103645324707
25,1,0.16775155835770555,0.21245571240020825,0.20663974408416463,0.004637002944946289,0.0155029296875
25,2,0.22873879857749263,0.2476572998767122,0.2505795269447645,0.0010786056518554688,0.03362298011779785
25,3,0.19308677918154266,0.21102300356853065,0.20978460842317465,0.0006937980651855469,0.01571512222290039
25,4,0.2346387467781344,0.28357927463151017,0.27122077791283444,0.0006170272827148438,0.011694192886352539
25,5,0.2081048914556841,0.20641911575276306,0.20882781700137978,0.0012230873107910156,0.029488801956176758
25,6,0.21264623423444548,0.2813126451301655,0.27212192364887283,0.0009579658508300781,0.03383588790893555
25,7,0.15289030738482068,0.19998549655923958,0.195782340490365,0.010652303695678711,0.026834964752197266
25,8,0.18347605023868357,0.21544416853377246,0.21321413630657984,0.0010061264038085938,0.01702404022216797
25,9,0.1826729585880733,0.24455474949588937,0.2374645256480904,0.0009698867797851562,0.01685500144958496
25,10,0.17906886170991712,0.23995237338996772,0.21712472287924806,0.0005278587341308594,0.011531829833984375
25,11,0.21894969541296164,0.28074318951469174,0.25681616832591425,0.0004761219024658203,0.009743690490722656
25,12,0.19491946822360393,0.2144247091069271,0.19688616276527515,0.001004934310913086,0.007035255432128906
25,13,0.1833276238834568,0.20254351235189078,0.19330894953308259,0.0009191036224365234,0.015730857849121094
25,14,0.1888067071291442,0.2072543022298551,0.2087358827293043,0.0006570816040039062,0.015037775039672852
25,15,0.16256241514395126,0.17584297145740718,0.16119169861629232,0.0004849433898925781,0.009479999542236328
25,16,0.2165787827530802,0.2387525022394476,0.23295165826336942,0.0004889965057373047,0.007210969924926758
25,17,0.2292752653020665,0.268385601596765,0.24588387370313575,0.0011620521545410156,0.014678001403808594
25,18,0.16521568380440543,0.22850858857703765,0.21442842306883872,0.0009272098541259766,0.011444330215454102
25,19,0.1923802200620734,0.24456346248048025,0.23211901773565674,0.0009129047393798828,0.013414859771728516
25,20,0.14881191306596514,0.19600868374586866,0.19752942679129235,0.0005660057067871094,0.006924152374267578
25,21,0.19568093749551008,0.22045338186023422,0.2073100812842576,0.0009222030639648438,0.018064022064208984
25,22,0.17567821237155143,0.20973289362545797,0.20351299772399942,0.00048613548278808594,0.008681774139404297
25,23,0.19442678692297194,0.2388601763297334,0.2298480329288027,0.0004799365997314453,0.01787281036376953
25,24,0.22834547160337196,0.24378264824461876,0.2371263051255705,0.0004968643188476562,0.011106014251708984
