scenario,K,rep,n_min,rmse_oracle,rmse_vaneb,rmse_npeb,rmse_adamix,rmse_fedavg,rmse_nocomm,vaneb_time,npeb_time,fedavg_time,nocomm_time
poisson,3200,100,20,1.5329812926406645,1.5541587387845204,1.730233163497618,2.3729268158688845,1.8930637435649211,3.2171473108753625,1315.1598281860352,19.685779094696045,0.0015027523040771484,1.2159347534179688e-05
poisson,3200,101,20,1.5323230195388586,1.5033943765864908,1.7447434542220308,2.4032664994110253,1.885060741727225,3.238869215490214,1274.040516614914,36.98854184150696,0.0015180110931396484,4.5299530029296875e-06
poisson,3200,102,20,1.5704089085950201,1.5586629686076081,1.748654316631209,2.415258293706736,1.9051955466958734,3.236044171975979,1402.1441795825958,90.56870770454407,0.0014615058898925781,5.0067901611328125e-06
poisson,3200,103,20,1.5351405373974256,1.5424286595852192,1.7197800842660487,2.3853229154438873,1.8967945572406253,3.2392995105272298,1291.7357552051544,25.210258960723877,0.0014734268188476562,4.76837158203125e-06
poisson,3200,104,20,1.5482151532607542,1.5450217112439582,1.7925433388035767,2.463258953098517,1.8833464414487662,3.282100571452371,1459.141288280487,117.078280210495,0.0014698505401611328,4.5299530029296875e-06
