k,rep,nmin,rmse_mle,rmse_oracle,rmse_npeb,rmse_adamix,oracle_runtime_sec,npeb_runtime_sec
1600,0,100,0.07183007060594192,0.04872122442702624,0.05932364064961879,0.0718525613578136,0.20949983596801758,2.253316879272461
1600,1,100,0.07458031206669313,0.049133587376761934,0.062145665806907065,0.07456931965235518,0.17679429054260254,2.1855201721191406
1600,2,100,0.07440447682858832,0.05089258817867789,0.062216069755249064,0.07434309783415638,0.14371395111083984,2.141785144805908
1600,3,100,0.07163422037032018,0.04872661517001829,0.059314030197083735,0.07165200531846654,0.1470041275024414,2.16029691696167
1600,4,100,0.06991145270806516,0.04724629962748512,0.05680178272017342,0.06992621339098407,0.14427900314331055,2.0931529998779297
1600,5,100,0.07125404647072721,0.046982613009970545,0.05774942899342566,0.07119841834642025,0.14206194877624512,2.1559457778930664
1600,6,100,0.07143034794157953,0.04714868031906018,0.05704651200926714,0.07146044374666341,0.14267277717590332,2.1681129932403564
1600,7,100,0.07517919238514606,0.04941471851521608,0.06225740980822307,0.07515715075937773,0.14291787147521973,2.4234988689422607
1600,8,100,0.07201583735679085,0.04868631363584042,0.06026747076356678,0.07204127003422899,0.16819310188293457,2.2090251445770264
1600,9,100,0.07224896112023407,0.04780171988577865,0.05947035968654175,0.07222269208032975,0.1451871395111084,2.2497799396514893
1600,10,100,0.07226550240377283,0.049248669308954586,0.06046627695389946,0.0722705604155257,0.14278602600097656,2.1607730388641357
1600,11,100,0.07254199252268181,0.05056104091851308,0.06084066140042444,0.0725223343891254,0.14633893966674805,2.198499917984009
1600,12,100,0.07441070068201384,0.05129429631485759,0.06218853232614437,0.07437221662798837,0.1564333438873291,2.2174148559570312
1600,13,100,0.07228957977837386,0.04857324357604372,0.06015314517749064,0.07229772239413573,0.15134000778198242,2.1741859912872314
1600,14,100,0.07137290554817567,0.046553895454441795,0.05901374907993361,0.07134278568955563,0.3182179927825928,2.2294211387634277
1600,15,100,0.07069182595575856,0.04660781042117305,0.05877654086389268,0.07065802423183128,0.17015385627746582,2.284865140914917
