scenario,K,rep,n_min,rmse_oracle,rmse_vaneb,rmse_npeb,rmse_adamix,rmse_fedavg,rmse_nocomm,vaneb_time,npeb_time,fedavg_time,nocomm_time
quadratic,200,120,40,0.13553387811219264,0.3214010517248722,0.31870044169835776,0.337981937052606,2.632244770587506,0.35245922368556615,2.8451287746429443,0.5823173522949219,0.0005693435668945312,1.6689300537109375e-06
quadratic,200,121,40,0.16797384640522744,0.3374081489332234,0.3410309496531255,0.34382581680854785,2.6840591673421987,0.3707131007177753,2.841505527496338,0.5846130847930908,0.0004801750183105469,1.9073486328125e-06
quadratic,200,122,40,0.10965868229300035,0.2927823059653271,0.2968374016520501,0.30673483666466,2.621351888030068,0.3312285150482228,2.801750898361206,0.5717465877532959,0.0005147457122802734,1.9073486328125e-06
quadratic,200,123,40,0.15261369976644082,0.3060171201081883,0.32031987944033163,0.33098526800001704,2.753532684296509,0.3515333268549698,2.8434152603149414,0.5927677154541016,0.00048422813415527344,1.6689300537109375e-06
quadratic,200,124,40,0.12735811989194107,0.3329739264796309,0.34175040636149384,0.34390457826323767,2.7422388497710974,0.3724343956054481,2.801924467086792,0.5823767185211182,0.0005190372467041016,1.430511474609375e-06
