scenario,K,rep,n_min,rmse_oracle,rmse_vaneb,rmse_npeb,rmse_adamix,vaneb_time,npeb_time
quadratic,200,28,40,0.14758902069506544,0.35518356660653194,0.35275246346830136,0.37329849204554605,2.8184714317321777,0.529975175857544
quadratic,200,29,40,0.10677828343317694,0.3396098443507609,0.34308362076825116,0.3694362016179545,2.7259063720703125,0.542323112487793
quadratic,200,30,40,0.10554144545846753,0.321269328176285,0.32895312833069795,0.33814219260606304,2.639486074447632,0.5120694637298584
quadratic,200,31,40,0.13737699306739534,0.36654577652598114,0.37936606151142044,0.3957035812389092,2.68615984916687,0.5137407779693604
