scenario,K,rep,n_min,rmse_oracle,rmse_vaneb,rmse_npeb,rmse_adamix,rmse_fedavg,rmse_nocomm,vaneb_time,npeb_time,fedavg_time,nocomm_time
quadratic,50,100,5,0.8338502221656683,1.0657317407046356,1.2681296146000995,1.0636787285302267,2.8582177094862895,1.1312236597601588,0.2947509288787842,0.09795665740966797,0.0004737377166748047,1.430511474609375e-06
quadratic,50,101,5,0.9179293487525992,1.0286729828440488,1.181190921240278,1.092374062580388,2.7965024372805973,1.0496538949315861,0.22450470924377441,0.10248041152954102,0.00042819976806640625,9.5367431640625e-07
quadratic,50,102,5,0.9554910326676994,0.8204210235293683,0.8984236666599087,0.8284217189788036,2.6533296510544164,0.845483789079188,0.2229006290435791,0.10202598571777344,0.0004405975341796875,1.430511474609375e-06
quadratic,50,103,5,0.7672550788543522,1.0780136741402722,1.0620637821871208,1.0257387111745688,2.812068736043623,1.0988212206837131,0.2290353775024414,0.10116457939147949,0.0004706382751464844,9.5367431640625e-07
quadratic,50,104,5,0.7506570966920189,0.813770938807164,0.8324429117612617,0.8622602538979905,2.685894422799189,0.8541588182368206,0.22766780853271484,0.09548139572143555,0.0004374980926513672,9.5367431640625e-07
