scenario,K,rep,n_min,rmse_oracle,rmse_vaneb,rmse_npeb,rmse_adamix,rmse_fedavg,rmse_nocomm,vaneb_time,npeb_time,fedavg_time,nocomm_time
quadratic,50,0,5,0.8338502221656688,1.0657317408026263,1.2681296146233507,1.0636787285302263,2.8582177094862895,1.131223659760159,0.14671897888183594,0.05059075355529785,0.0001049041748046875,0.0
quadratic,50,1,5,0.9179293487525999,1.0286729828390546,1.1811909208508227,1.0923740625803882,2.7965024372805978,1.0496538949315863,0.06499505043029785,0.02656412124633789,9.298324584960938e-05,9.5367431640625e-07
quadratic,50,2,5,0.9554910326676994,0.8204210235256215,0.8984236659156245,0.8284217189788036,2.6533296510544164,0.845483789079188,0.06394696235656738,0.026218891143798828,9.5367431640625e-05,0.0
quadratic,50,3,5,0.7672550788543534,1.0780136774593416,1.0620637789059337,1.0257387111745686,2.8120687360436234,1.0988212206837131,0.06481790542602539,0.02567911148071289,9.274482727050781e-05,0.0
quadratic,50,4,5,0.7506570966920186,0.8137709358100064,0.8324428855966889,0.8622602538979905,2.685894422799189,0.8541588182368206,0.06426215171813965,0.027220964431762695,9.393692016601562e-05,0.0
quadratic,50,5,5,0.6158846771534038,1.2012398901129377,1.1996157857290612,1.1818624806634308,2.66640152574596,1.2373800586467683,0.09532785415649414,0.03876686096191406,0.00024509429931640625,9.5367431640625e-07
quadratic,50,6,5,0.5338660106214153,0.8436985377447139,0.9025064189329801,0.8344317818550796,2.3767005106316548,0.876625202860065,0.07851076126098633,0.03381705284118652,9.179115295410156e-05,0.0
quadratic,50,7,5,1.0166350304096807,1.0780371691551736,1.2901722428500648,1.1841630760766233,2.5806016598984978,1.0960230935475623,0.08257198333740234,0.047804832458496094,0.0001327991485595703,0.0
quadratic,50,8,5,0.7185777174269812,0.8119026404196911,0.9997696984984527,0.8449509591764666,2.667963393813575,0.8961430801375828,0.08399200439453125,0.03317141532897949,9.703636169433594e-05,0.0
quadratic,50,9,5,0.6487117337128084,1.0405158228133682,1.255547590677401,1.0745034178711503,2.8462360150169146,1.1204195426895283,0.07079195976257324,0.03662109375,9.584426879882812e-05,0.0
