k,rep,nmin,rmse_mle,rmse_oracle,rmse_npeb,rmse_adamix,oracle_runtime_sec,npeb_runtime_sec
100,0,100,0.0640879152888173,0.04280780879363184,0.0619815655551456,0.06395887707777849,0.012205123901367188,0.05947709083557129
100,1,100,0.0698830286532127,0.0389217979784261,0.06688255054653895,0.06975235037203814,0.01591801643371582,0.05185222625732422
100,2,100,0.07171620517071657,0.04201972820562832,0.06801891706567856,0.0711180105620284,0.009036064147949219,0.03721213340759277
100,3,100,0.07400963070517672,0.05025969449229759,0.07119472439049583,0.0732418430052555,0.009783029556274414,0.03881978988647461
100,4,100,0.0703579313523925,0.04762288489876762,0.06776540601493912,0.07051070445807038,0.008938074111938477,0.03398394584655762
100,5,100,0.06405976030468787,0.03802101442061511,0.06292046283835699,0.06313405644948453,0.00890803337097168,0.03395891189575195
100,6,100,0.07588044798506617,0.058934849955839655,0.07623565011002194,0.07535063389974335,0.008873224258422852,0.03463101387023926
100,7,100,0.07566178077253044,0.05396742010662387,0.07743916303305057,0.07542722437213444,0.00925588607788086,0.034049034118652344
100,8,100,0.07166109290262224,0.04897372839138503,0.06844004219487863,0.07115417660545388,0.008936166763305664,0.03389096260070801
100,9,100,0.07218395209440043,0.04328434580444412,0.07421359974071308,0.07182134885204682,0.0089111328125,0.03482985496520996
100,10,100,0.06976534148043217,0.0514687266361089,0.06776094569644382,0.06924623199341454,0.008939981460571289,0.033522844314575195
100,11,100,0.07297222188969632,0.048696974755321025,0.0721444709786151,0.07271234948331824,0.008911848068237305,0.03294110298156738
100,12,100,0.06152502553100685,0.04066136973841493,0.05987188351934377,0.06153121886745304,0.008919715881347656,0.03461503982543945
100,13,100,0.07381424140392627,0.05253938826698922,0.07329177169402576,0.07349404550626659,0.008961915969848633,0.03382301330566406
100,14,100,0.06739069295228728,0.049537028902611,0.06702586668326758,0.06722101860632938,0.008914947509765625,0.03328704833984375
100,15,100,0.07468983302196464,0.04982106196938859,0.07311343236285128,0.0752284729115693,0.008921146392822266,0.03421783447265625
100,16,100,0.06947323904337924,0.0545124388610926,0.0610280582483758,0.06965863509549991,0.008923768997192383,0.033181190490722656
100,17,100,0.07687712969570562,0.05495001165258377,0.07818908870720088,0.0754749974699959,0.008877038955688477,0.03372001647949219
100,18,100,0.07003674791839717,0.05177369086075994,0.068000989082015,0.07016048703856241,0.00893092155456543,0.03332805633544922
100,19,100,0.07456164249142094,0.04824066313533086,0.0703724284287736,0.07416347472346842,0.008903980255126953,0.033370018005371094
100,20,100,0.08102888042605445,0.05990284675421865,0.08208841827333617,0.08036069252781632,0.008929014205932617,0.03357219696044922
