k,rep,nmin,rmse_mle,rmse_oracle,rmse_npeb,rmse_adamix,oracle_runtime_sec,npeb_runtime_sec
100,0,1600,0.015196583850209363,0.010462932648820788,0.016778214327908856,0.0152135159367764,0.011089086532592773,0.04614973068237305
100,1,1600,0.11621276755159833,0.15229890412510483,0.11611876111604323,0.11620842316804479,0.011400938034057617,0.035376787185668945
100,2,1600,0.042818897915767894,0.04095375795652341,0.04269053157985954,0.042813330005027024,0.009896993637084961,0.034574031829833984
100,3,1600,0.015181459925842671,0.009416306853285872,0.014826232658318181,0.015156782266723191,0.009611129760742188,0.03496503829956055
100,4,1600,0.014413724363789097,0.009980144349018831,0.013984262447580716,0.014389770189768123,0.010628938674926758,0.0332791805267334
100,5,1600,0.015914784321946308,0.010393350820227885,0.015653507449263783,0.015914841491328133,0.010442972183227539,0.03614091873168945
100,6,1600,0.014999059040277568,0.010479515896729413,0.015111584468975153,0.015002286033344475,0.009015798568725586,0.03625321388244629
100,7,1600,0.019152402104749645,0.012152868398325512,0.018406832300178068,0.019134090291518215,0.009783744812011719,0.036466360092163086
100,8,1600,0.017391520479960898,0.014109871536060532,0.017489857178657132,0.017420969823234166,0.010104179382324219,0.03829789161682129
100,9,1600,0.02605783351356054,0.030979965500685797,0.02606067870438583,0.026057702100336373,0.009294986724853516,0.036692142486572266
100,10,1600,0.014631376270332667,0.008737368997886888,0.014622964872625049,0.01461399905778198,0.009114980697631836,0.03524374961853027
100,11,1600,0.018469754192843406,0.013302416647808837,0.018936829794338493,0.018492009332309847,0.010826826095581055,0.03613018989562988
100,12,1600,0.02750726532578124,0.03831469668675386,0.02761628840033749,0.027529255174709968,0.011153936386108398,0.035552024841308594
100,13,1600,0.021054359465951675,0.011699199450804209,0.020829116333480335,0.02103991082896563,0.009772062301635742,0.037500858306884766
100,14,1600,0.04999277310603036,0.05945203031440155,0.05009659459838328,0.04999859513798817,0.009996175765991211,0.03659987449645996
100,15,1600,0.017023620733156337,0.01123376744665061,0.016754395614910683,0.017039678911972837,0.010124921798706055,0.035063982009887695
100,16,1600,0.0169499050143291,0.010772382230752706,0.016386830980102712,0.016939729338364472,0.009634017944335938,0.04066276550292969
100,17,1600,0.0153488677839469,0.010449413449039551,0.01456557739184593,0.015344733536259366,0.009768962860107422,0.03452801704406738
100,18,1600,0.01796422129207254,0.015778078686030723,0.01843966624107562,0.017981499510640448,0.00959014892578125,0.035205841064453125
100,19,1600,0.019212287220626772,0.014791399641970694,0.01930235401357755,0.01919996856681214,0.010293006896972656,0.0375978946685791
100,20,1600,0.016773585808167284,0.011121666118372836,0.016049092517496234,0.016755886148974067,0.00883793830871582,0.036398887634277344
100,21,1600,0.016163296063133308,0.010384970238059961,0.016433028102363936,0.016129951203846412,0.010973215103149414,0.03610086441040039
100,22,1600,0.01938482058611224,0.01337568237698811,0.019444828629994863,0.019373914245438894,0.009915828704833984,0.03383231163024902
100,23,1600,0.02419457763997454,0.030645262646004652,0.024134465206479983,0.024182034222303545,0.010232686996459961,0.035447120666503906
100,24,1600,0.02266153099938705,0.028391585737385774,0.022650389762356237,0.022659119003356664,0.009089231491088867,0.035774946212768555
