scenario,K,rep,n_min,rmse_oracle,rmse_vaneb,rmse_npeb,rmse_adamix,rmse_fedavg,rmse_nocomm,vaneb_time,npeb_time,fedavg_time,nocomm_time
poisson,50,80,10,1.7574939347111707,2.6740599489993344,3.595237472945484,4.522945345152172,2.0844930401758615,5.500195297355752,0.5673191547393799,0.07460761070251465,0.0004286766052246094,1.1920928955078125e-06
poisson,50,81,10,1.6815867206499364,1.8768318083325264,3.2726327799089936,4.357800610676729,1.9361321372761946,5.372863205630847,0.5010645389556885,0.0801401138305664,0.0004019737243652344,9.5367431640625e-07
poisson,50,82,10,1.622512280299714,3.6809945800467925,4.133200498859075,4.648057689638239,1.736338743517795,5.492591767634024,0.536475419998169,0.07860755920410156,0.0004112720489501953,1.1920928955078125e-06
poisson,50,83,10,1.5958102257971658,3.3890028422957266,5.240390168244111,5.716746056515322,2.023242000119322,6.640511332580237,0.5940005779266357,0.07807540893554688,0.00040411949157714844,1.430511474609375e-06
poisson,50,84,10,1.622691095129151,4.493164715543332,5.726818452244197,6.055738969953541,2.30088441942317,7.018869579071981,0.6088805198669434,0.0767672061920166,0.0004050731658935547,1.430511474609375e-06
