scenario,K,rep,n_min,rmse_oracle,rmse_vaneb,rmse_npeb,rmse_adamix,rmse_fedavg,rmse_nocomm,vaneb_time,npeb_time,fedavg_time,nocomm_time
poisson,3200,105,40,1.3187604778849231,1.288474144194127,1.3689854114772784,1.7193172680339406,1.895952103892513,2.210047527947448,1549.1532528400421,19.625896453857422,0.0014870166778564453,4.291534423828125e-06
poisson,3200,106,40,1.331859503018992,1.3146876729239214,1.3717271263694193,1.7134880995853452,1.8946248275930577,2.193756284745154,1511.011770248413,20.33004665374756,0.0014810562133789062,4.0531158447265625e-06
poisson,3200,107,40,1.3183748573538567,1.290964298252379,1.350247957743514,1.702032549558404,1.884811720008596,2.1825139835095912,1520.5336542129517,18.344904899597168,0.0014719963073730469,4.76837158203125e-06
poisson,3200,108,40,1.3141990087948212,1.2950362732104446,1.3514129235287509,1.7037556138292573,1.911866703291772,2.185322676704802,1500.1657619476318,18.988221168518066,0.0014672279357910156,4.76837158203125e-06
poisson,3200,109,40,1.320631635164819,1.2918693054001986,1.3621408980018515,1.7263277658648999,1.8987322055172775,2.203465340058093,1564.818707704544,19.485352039337158,0.0014526844024658203,4.76837158203125e-06
