scenario,K,rep,n_min,rmse_oracle,rmse_vaneb,rmse_npeb,rmse_adamix,vaneb_time,npeb_time
poisson,400,0,40,1.3444818506575233,1.4091202320156033,1.4260129690638597,1.7213873900066432,18.149453163146973,0.5737349987030029
poisson,400,1,40,1.3459817123686615,1.4505523548001658,1.537970068521785,1.7886059301595707,17.967224836349487,0.520888090133667
poisson,400,2,40,1.3608921575308175,1.375914183129701,1.43738972444928,1.7809202033340918,18.287229776382446,1.3075282573699951
poisson,400,3,40,1.401690316257496,1.4252979738774159,1.5286423295668365,1.8771690561670218,19.160005569458008,1.3304154872894287
poisson,400,4,40,1.3796177949065005,1.510080933116855,1.5857330433138914,1.8818438095418977,18.592491388320923,0.5941982269287109
poisson,400,5,40,1.3564113915189708,1.4152462155631436,1.4502468757401321,1.7679434284952078,17.99366855621338,0.7993247509002686
poisson,400,6,40,1.3058316036804645,1.358342213538629,1.4404844739146967,1.7385679902376683,16.531193733215332,0.5639481544494629
poisson,400,7,40,1.3460141227736455,1.398498313711138,1.45470573159968,1.765160368846914,17.98692274093628,0.600447416305542
poisson,400,8,40,1.4026075641870568,1.4563925503339823,1.5224134434467365,1.7897597438620199,19.23484444618225,1.1553409099578857
poisson,400,9,40,1.3277281227982567,1.3814727975553063,1.4365741674982795,1.7148597699066355,17.08523726463318,0.5587387084960938
poisson,400,10,40,1.4329083885710645,1.4863982758806809,1.5612928405627582,1.8441007730201746,18.05269169807434,0.5832080841064453
poisson,400,11,40,1.3832608961925177,1.52678716913142,1.5654060838791326,1.838447722965046,18.570009231567383,0.5707001686096191
poisson,400,12,40,1.3879638926264017,1.4461144261953944,1.5124824171106872,1.8668618424603407,17.12175440788269,0.6575067043304443
poisson,400,13,40,1.3443821120588941,1.3957368375139716,1.4422678022207533,1.73552697722731,17.30737853050232,0.53165602684021
poisson,400,14,40,1.3682784022058594,1.4376777475973834,1.4672078880133863,1.7388096322563764,19.20627784729004,0.7961690425872803
poisson,400,15,40,1.4263522642909905,1.500546167708029,1.5591220926355096,1.8847412902815759,18.339997053146362,0.5739872455596924
poisson,400,16,40,1.3584707737677253,1.4149760572955066,1.4753499939217691,1.8345617028707288,17.336535930633545,0.7327477931976318
poisson,400,17,40,1.3646914962827228,1.3900809754886512,1.4441868450562265,1.7498640742440112,18.358516693115234,0.8487281799316406
poisson,400,18,40,1.3002193676970064,1.357119482250292,1.4168397276160178,1.7732177418360973,16.954538583755493,0.790067195892334
poisson,400,19,40,1.384919157362286,1.4254079672780693,1.4790442155509083,1.7985384550197723,18.734316110610962,0.6280648708343506
poisson,400,20,40,1.3779842009769343,1.4625701268274038,1.5300752712065475,1.8208258313978947,17.683928728103638,0.5666522979736328
poisson,400,21,40,1.3096168125585983,1.4028081670000285,1.4612359688446754,1.7567239624344557,16.579225301742554,0.5921342372894287
poisson,400,22,40,1.3265483565180678,1.432157021766504,1.5089142423323552,1.8375385483495483,18.036012172698975,0.7508039474487305
poisson,400,23,40,1.3550402592390227,1.4516790824236396,1.513426655923079,1.8478573015777664,17.507580041885376,0.5881912708282471
poisson,400,24,40,1.3588029387113008,1.405502365809667,1.4595479440735024,1.8052662624505633,17.174490928649902,0.5592882633209229
poisson,400,25,40,1.3499518294017767,1.4316030000381104,1.4767376740272424,1.7878273106389408,18.63216543197632,1.4396820068359375
poisson,400,26,40,1.3152079099582026,1.4055370316079299,1.4722111338454138,1.7899378574856288,19.53855586051941,0.5765817165374756
poisson,400,27,40,1.3804037240990066,1.4244320233976002,1.4675659076753549,1.8141141499831979,17.912818670272827,0.6126506328582764
poisson,400,28,40,1.3643104215654116,1.4791190754453614,1.5525336287383094,1.8127550113263482,18.24431014060974,0.5630617141723633
poisson,400,29,40,1.365852325882651,1.3990681560620002,1.4409721899485042,1.7591154530681474,17.264323234558105,0.5584819316864014
poisson,400,30,40,1.3910192726129773,1.439892941380057,1.4993936284974534,1.853904733883678,19.46090865135193,0.6401686668395996
poisson,400,31,40,1.3913871786976146,1.4371857777677572,1.5209112223051948,1.8775997213553628,18.988627195358276,0.6073811054229736
poisson,400,32,40,1.354029229272817,1.4582291498793831,1.4822629570580979,1.7519948549833815,16.863624811172485,0.5573351383209229
poisson,400,33,40,1.3640306408340985,1.4585871221926139,1.5034193598832337,1.7562788921116936,17.71212124824524,0.6362378597259521
poisson,400,34,40,1.3788850975835791,1.4517005110916947,1.540975548150434,1.8608183931224151,17.72634267807007,0.627488374710083
poisson,400,35,40,1.3443292307062982,1.3734725807750336,1.4349427169443538,1.769978342229377,17.419565439224243,0.7309591770172119
poisson,400,36,40,1.3719076314139476,1.4566543838594286,1.5031137238109156,1.7873288361631232,17.346450805664062,0.5625174045562744
poisson,400,37,40,1.3891099005995136,1.4340026784621476,1.4619887512925056,1.7529263457921729,18.43836545944214,1.8701543807983398
poisson,400,38,40,1.3346170215989253,1.3818916731441926,1.455714907219567,1.7990501828243017,17.32337737083435,0.5611104965209961
poisson,400,39,40,1.3752735317003404,1.4444073603716856,1.512679829841195,1.7929791979339584,17.963722229003906,1.027747392654419
poisson,400,40,40,1.379054303946214,1.420337520490648,1.4616256973423343,1.7722348954334488,18.194355726242065,0.6201670169830322
poisson,400,41,40,1.426447405321677,1.4757862544501947,1.5347088573628314,1.8438458182969637,18.347559213638306,0.5795199871063232
poisson,400,42,40,1.4021759543624073,1.4352575709010449,1.5020037226636485,1.8116172623281552,18.147570848464966,0.770949125289917
poisson,400,43,40,1.419815826816618,1.5070319709373436,1.566818517337339,1.9020330814860904,17.196305990219116,0.6929178237915039
poisson,400,44,40,1.398351700202783,1.4517995196116171,1.4913523768188246,1.8498919612462172,16.102837324142456,0.5734810829162598
poisson,400,45,40,1.3221567545513044,1.346706514098043,1.3752811329709014,1.7412793962834117,17.810506343841553,0.5754668712615967
poisson,400,46,40,1.2723858761734783,1.3274574874720764,1.4084096004710713,1.741960769221901,17.464102506637573,0.6637604236602783
poisson,400,47,40,1.332071884619487,1.4060440783488872,1.4896646689006003,1.8141545247644468,15.532116413116455,0.8710520267486572
poisson,400,48,40,1.4113724691263951,1.4594834219118473,1.4893898160785197,1.7677434217921033,18.676690578460693,0.5688707828521729
poisson,400,49,40,1.3562983580650838,1.4711879909799064,1.5008804484330884,1.771135610908146,18.164634943008423,0.5911424160003662
poisson,400,50,40,1.4057314510496832,1.4279032718309095,1.4743293307895808,1.780341445125445,15.294433116912842,0.8004429340362549
poisson,400,51,40,1.3981568656886976,1.4562522038586692,1.507863306072759,1.8143541625751571,18.21406054496765,0.5884518623352051
poisson,400,52,40,1.404935342138831,1.4618001283813735,1.5124919622709236,1.8270693775628843,18.691549062728882,0.67452073097229
poisson,400,53,40,1.3635668426747987,1.4237898542675482,1.4801292631089642,1.8106816902364604,16.49149227142334,0.5591161251068115
poisson,400,54,40,1.3738004342659582,1.4345122786610427,1.489149031510207,1.804048514171127,15.473578929901123,0.5412333011627197
poisson,400,55,40,1.3779964922060617,1.4420726339804528,1.5198279529686116,1.8456544429046804,17.98113250732422,0.5812489986419678
poisson,400,56,40,1.4161637594525542,1.4810393430873798,1.532500801769498,1.7696799097974936,19.27722430229187,1.8469045162200928
poisson,400,57,40,1.3747112848317864,1.4314416151392566,1.4861721227779143,1.824286647317639,17.273114919662476,0.5550453662872314
poisson,400,58,40,1.3523552237602912,1.3957320804010083,1.4593594463629083,1.7575145194850106,17.278555154800415,0.6428935527801514
poisson,400,59,40,1.350239296241619,1.4248073322029742,1.4969295526873487,1.834900042319899,18.496909379959106,0.6575994491577148
poisson,400,60,40,1.373045929850944,1.4416252516150352,1.5005937444134514,1.8869347371174823,17.466532230377197,1.2064592838287354
poisson,400,61,40,1.3940710651264243,1.4427701272525515,1.4868433805349974,1.8240038455851044,17.54550838470459,0.5766289234161377
poisson,400,62,40,1.3271156074835502,1.4662313735378667,1.5482910139135355,1.8414654312430032,17.840848445892334,0.6008644104003906
poisson,400,63,40,1.394469315650835,1.4743129032178133,1.5368869400668765,1.8304335661641142,17.90756583213806,0.6549146175384521
poisson,400,64,40,1.3133481459784608,1.4096216236942476,1.4610235712264028,1.7822429472264996,17.054406881332397,0.5830717086791992
poisson,400,65,40,1.3936108342494307,1.4411987361531338,1.4942071376062718,1.8089457806533855,18.141930103302002,0.5865085124969482
poisson,400,66,40,1.3739344525607071,1.4363504590873994,1.4726301619215085,1.8090534190969605,18.812224864959717,0.5429987907409668
poisson,400,67,40,1.3431263989469366,1.3778367000914482,1.4515691070304422,1.7998528941040883,18.010414838790894,0.5586378574371338
poisson,400,68,40,1.371231241900574,1.4146371354173726,1.4773831996029292,1.8095397886719076,19.064399242401123,0.6205275058746338
poisson,400,69,40,1.3431337223693547,1.4159882054416544,1.465635411751989,1.7758909483765268,17.424662351608276,0.810554027557373
poisson,400,70,40,1.3321039205651342,1.3669372055938678,1.396154983434843,1.7401619420003438,18.935843229293823,0.7526116371154785
poisson,400,71,40,1.3900133658884462,1.445907502840931,1.484474903971251,1.787441318987088,18.4219491481781,0.7701215744018555
poisson,400,72,40,1.3420299531893736,1.3573588963023833,1.418922525302514,1.7594282169205042,17.570449352264404,0.5781004428863525
poisson,400,73,40,1.402219202295908,1.582834669720657,1.6485116862969165,1.9215061065466135,17.86118245124817,0.5110735893249512
poisson,400,74,40,1.3915161760170813,1.486465646133792,1.568669040846237,1.8420701909556831,17.542989015579224,0.5964386463165283
poisson,400,75,40,1.3238482462453736,1.378661863941656,1.4067598551338136,1.7467180671344855,16.44006609916687,0.5696432590484619
poisson,400,76,40,1.2874502855008443,1.3687787992891294,1.3964481519545504,1.7380175182156992,17.801551342010498,0.5717289447784424
poisson,400,77,40,1.3698406350511048,1.4071969414795094,1.429119546126559,1.7337535389990395,16.949864149093628,0.5628242492675781
poisson,400,78,40,1.3982677911633208,1.452460286992583,1.5438838744122747,1.8775647024893465,17.9097318649292,0.5869705677032471
poisson,400,79,40,1.3939302982017543,1.4618018694911052,1.5118635012829207,1.877418046407853,16.573611736297607,0.5987474918365479
poisson,400,80,40,1.3485114874835369,1.4068718419944168,1.4471132550624903,1.7418514316410743,17.08210849761963,0.7226200103759766
poisson,400,81,40,1.3081975976358506,1.3456879422645642,1.405346275659186,1.7613009343329702,18.29644250869751,0.5866525173187256
poisson,400,82,40,1.416920009258944,1.5047441012314786,1.54422938557958,1.8033238080394716,18.873587131500244,0.5852458477020264
poisson,400,83,40,1.3100619330205199,1.4005726890922623,1.451677686822426,1.7387887289431574,16.001027822494507,0.6182310581207275
poisson,400,84,40,1.372330646847196,1.470845483775142,1.533487182809703,1.8141474251903722,17.63347864151001,0.7220544815063477
poisson,400,85,40,1.3109453080129352,1.3656238598356847,1.435008649687854,1.7681790599765839,16.390334367752075,0.5597288608551025
poisson,400,86,40,1.384172430548021,1.4198616905500638,1.4695033765688545,1.8062522917485553,18.225223064422607,0.7180557250976562
poisson,400,87,40,1.3939204313880824,1.4366260150634727,1.49594390303999,1.7830883815606777,17.204734563827515,1.1686513423919678
poisson,400,88,40,1.4166704794931488,1.5235183293233276,1.5785148079858025,1.9135552942037395,16.96255087852478,0.5847220420837402
poisson,400,89,40,1.389563694270365,1.444280595661432,1.4926562394894982,1.8357835380600545,18.683006763458252,1.0957882404327393
poisson,400,90,40,1.3613045599176805,1.3808452558800612,1.460040364416427,1.8523900323737463,18.175539016723633,0.6715672016143799
poisson,400,91,40,1.2891883790591798,1.3764673340279794,1.4686161157578381,1.8279982258325285,18.741295337677002,0.6403677463531494
poisson,400,92,40,1.3288592536061314,1.4657484931137434,1.5462679793571046,1.7892106878682517,17.924566984176636,0.5902645587921143
poisson,400,93,40,1.3525556241057664,1.455292169864654,1.5385375187536492,1.7935744386499795,18.103813886642456,0.6305029392242432
poisson,400,94,40,1.3840163225225088,1.449062997359176,1.5237216966358915,1.8545012380896482,17.53492784500122,0.596660852432251
poisson,400,95,40,1.297721858309092,1.3241108766201137,1.3733462250493627,1.736420658870804,18.772274494171143,1.0824356079101562
poisson,400,96,40,1.3568198512465608,1.408031268344572,1.4800305534108693,1.7965100293064449,18.061466932296753,0.5392084121704102
poisson,400,97,40,1.3712761223378913,1.4931349158551595,1.5829563582192836,1.8912235940104607,17.631112098693848,0.6439011096954346
poisson,400,98,40,1.3500275166769928,1.411632709367816,1.4464799270095987,1.75629027253047,17.844110012054443,0.5485155582427979
poisson,400,99,40,1.371150540626645,1.4759932021074749,1.520109090971193,1.808662891136764,15.164653778076172,0.5557634830474854
