k,rep,rmse_adamix,rmse_oracle,rmse_npeb,rmse_soloff,npeb_runtime_sec,soloff_runtime_sec,n_mean,n_min,n_max
400,0,0.08605116795570955,0.04801623798063598,0.07552352706971353,0.08004003310102245,0.3925917148590088,0.28817105293273926,828.775,401,1198
400,1,0.08777647187287495,0.047284225051910524,0.0782839768031057,0.08402059833252318,0.26825809478759766,0.23491311073303223,809.24,400,1199
400,2,0.0946874289084164,0.046465427703754995,0.08637956539615502,0.09075741111025842,0.2709050178527832,0.2444758415222168,810.305,402,1200
400,3,0.0871965148714621,0.04950756804720702,0.07634375784126154,0.08255723282122387,0.28183698654174805,0.2720682621002197,782.4825,401,1200
400,4,0.08739022591930604,0.05036828892415884,0.07588521918353532,0.08092773013775119,0.2787048816680908,0.24487686157226562,798.1875,400,1200
400,5,0.09667221575056845,0.05264797888357313,0.0856820851824064,0.09085754054955371,0.30568385124206543,0.3436307907104492,788.0225,400,1199
400,6,0.08315022710163321,0.04945206508475025,0.07407701069647558,0.07949275569687503,0.2948439121246338,0.254331111907959,808.53,401,1200
400,7,0.0886803774641916,0.04650890694908379,0.08110771608201696,0.08582569005688986,0.2793409824371338,0.21295571327209473,814.44,401,1196
400,8,0.0908057633026885,0.047321887350661375,0.08042029503748392,0.08727313878130559,0.27739524841308594,0.23038601875305176,797.565,403,1199
400,9,0.09224216346543641,0.04571902517243665,0.08356638900990714,0.08812857007488813,0.29117417335510254,0.2578730583190918,806.095,402,1200
400,10,0.08681879879580871,0.04369528420315284,0.07958218364067485,0.08008378412561158,0.2798800468444824,0.23350119590759277,787.0025,402,1199
400,11,0.08698611153043265,0.05253597434882041,0.07968008804249523,0.08287947314797105,0.28183865547180176,0.21341514587402344,806.495,401,1200
400,12,0.08893293075106408,0.05141819142264265,0.08385130686483884,0.08571627415531967,0.2737410068511963,0.24175381660461426,799.44,400,1199
400,13,0.08691226314924713,0.04614558557222808,0.07462025480071767,0.08129577635311465,0.29708099365234375,0.2461099624633789,784.47,400,1199
400,14,0.09124724045616574,0.05546640072336647,0.08369100628062935,0.08917420046584269,0.28790283203125,0.2452230453491211,795.8525,400,1199
400,15,0.08766128105695922,0.04394399300962716,0.07922438635521532,0.08245156597876598,0.29091882705688477,0.24250173568725586,779.7575,405,1195
400,16,0.08482530029552732,0.04703018318253805,0.0794838713942289,0.08045833807856315,0.28240513801574707,0.2398509979248047,790.2175,400,1198
400,17,0.08599123341182531,0.04554909810041065,0.07706162001733778,0.08276187661635787,0.28426218032836914,0.23839306831359863,800.475,402,1200
400,18,0.08503898766427617,0.046007709639575595,0.07568786336247026,0.07716757715425394,0.29628419876098633,0.2548699378967285,791.1625,400,1197
400,19,0.0823630842682413,0.04513157985477922,0.07093693092704123,0.07591226768347234,0.2868659496307373,0.23123574256896973,820.975,405,1196
400,20,0.08442295866181104,0.04678395191401667,0.07490465419400559,0.07946264037608468,0.2798798084259033,0.28246498107910156,795.6425,403,1199
400,21,0.08207159908017035,0.04873365905723969,0.07464024386385741,0.07820144439657646,0.2799861431121826,0.2661168575286865,795.955,400,1200
