k,rep,rmse_oracle,rmse_npeb,rmse_adamix,oracle_runtime_sec,npeb_runtime_sec
200,0,0.3524048624599326,0.5316930773780766,0.44006576269442615,0.025480985641479492,4.651090860366821
200,1,0.3938557920724674,0.5099299487172713,0.435166433108095,0.048182010650634766,4.813517093658447
200,2,0.37236202683704567,0.5171915608737475,0.43264591712176226,0.050251007080078125,3.883794069290161
200,3,0.3211146735789929,0.46941437662426533,0.4026843850031726,0.04960489273071289,5.498647212982178
200,4,0.3325158411303262,0.45790458311882287,0.4048521071811808,0.06179404258728027,6.424070119857788
200,5,0.380310079768367,0.577822099445249,0.44147478810525576,0.04731321334838867,3.168282985687256
200,6,0.3468464184494069,0.49328342139773096,0.4356410924220395,0.05685091018676758,6.7837300300598145
200,7,0.33014229126596123,0.5047023291111037,0.39951862005214955,0.06037306785583496,5.258388042449951
200,8,0.3539783447051506,0.512084263607674,0.410068845363462,0.07639122009277344,5.37624979019165
200,9,0.3498565765429423,0.526845739828169,0.44107886298922544,0.06808304786682129,5.65532112121582
200,10,0.34926671445931123,0.5127757206616133,0.421065923902589,0.06341671943664551,6.373921155929565
200,11,0.3638058997890567,0.5261443519759812,0.450542051148413,0.031091928482055664,2.865037202835083
200,12,0.33558833915283565,0.5077530563702075,0.434569297876763,0.07754278182983398,5.14509391784668
200,13,0.34428950606986347,0.5288353964318792,0.4630306802942457,0.05437898635864258,4.2586989402771
200,14,0.37614368737134507,0.5212033199376793,0.4432492252632278,0.03975105285644531,3.1638007164001465
200,15,0.35554275239110805,0.5603251466105557,0.4587504291673152,0.049774885177612305,5.138314962387085
200,16,0.3524557426295077,0.5355060229337117,0.4389612371207868,0.0367279052734375,5.811624765396118
200,17,0.3422636444375943,0.48541062189985507,0.4018397777296096,0.0356600284576416,3.7607359886169434
200,18,0.34739930214287706,0.5333734350338709,0.4326119762947831,0.0714411735534668,4.698127031326294
200,19,0.37463471317899305,0.49203561431992604,0.4256233641591112,0.0489499568939209,6.137490272521973
200,20,0.37111716465941036,0.4969133395916535,0.42606943219217835,0.006360769271850586,4.490734100341797
200,21,0.34904473682990633,0.5010050624580208,0.41630717315355853,0.030328035354614258,4.080989122390747
200,22,0.3428521169486309,0.5217793488739921,0.4219489681954452,0.026363134384155273,3.3154120445251465
200,23,0.32680426077121627,0.5425653091694592,0.40286564549313797,0.018341064453125,4.076627969741821
200,24,0.3478509727988548,0.5227065388658856,0.437311659361298,0.04502701759338379,3.8331751823425293
200,25,0.3689631124896917,0.4994134805730563,0.43908759628471594,0.04526209831237793,2.5150489807128906
200,26,0.3593902801874119,0.508401750172366,0.4095001256099082,0.0063762664794921875,3.3323771953582764
200,27,0.34522120780676474,0.4955484140201286,0.41280871929452767,0.07550406455993652,4.106188058853149
200,28,0.35387045670955786,0.5504473700754812,0.45669855853506125,0.01874709129333496,2.7442800998687744
200,29,0.336858930179193,0.5118620699760021,0.41483303124488624,0.007011890411376953,2.3387160301208496
200,30,0.34662467693246873,0.4946346753796522,0.43320775982298754,0.014794349670410156,4.716618776321411
200,31,0.3589969854406686,0.5670294838270908,0.4581583415706297,0.07622718811035156,3.5709068775177
200,32,0.3797866167202703,0.5224075687891836,0.4591520972055996,0.03191089630126953,2.580665111541748
200,33,0.3366868860398958,0.4826459325616033,0.41971993746142466,0.03988504409790039,3.1761810779571533
200,34,0.35765967223263534,0.4894053166911294,0.41891328115229787,0.010603904724121094,2.6288437843322754
200,35,0.3537030415584004,0.5199156461626351,0.445220286894576,0.10469985008239746,4.045823097229004
200,36,0.33526009434302256,0.45431842391806826,0.40053058701193855,0.041879892349243164,3.695502996444702
200,37,0.3338687507890058,0.4924659051928655,0.4141189722581568,0.009690999984741211,2.381096124649048
200,38,0.3525428035623164,0.4947865906138576,0.4152500521716086,0.03156614303588867,3.2382967472076416
200,39,0.350668766750097,0.5049578755408877,0.4386369073151785,0.05242800712585449,4.519194841384888
200,40,0.35850721559338156,0.504250358179405,0.4239116970808341,0.04692792892456055,3.667919874191284
200,41,0.3505198141658089,0.5111569728636561,0.4533906972057686,0.01735711097717285,4.271405935287476
200,42,0.35487015197533583,0.5046834756560804,0.4207825673356131,0.1054680347442627,3.697840929031372
200,43,0.35801657544436705,0.5253763093014893,0.4446076655014285,0.0401458740234375,2.37980318069458
200,44,0.3471169136028653,0.4613021384437886,0.39338492314602747,0.02721095085144043,4.558274984359741
200,45,0.37056075935669164,0.49392544247625036,0.4358937148828455,0.03655576705932617,4.0309460163116455
200,46,0.3594989640198974,0.5151428440594942,0.4403102109343913,0.042279720306396484,2.5941150188446045
200,47,0.3505013130180047,0.4976234036590326,0.4208972139903788,0.03858304023742676,3.521324872970581
200,48,0.3321786709911701,0.5105485642484094,0.4112935074936378,0.03388094902038574,4.156579971313477
200,49,0.3507225097611261,0.5631286106557136,0.44346906752153337,0.006698131561279297,2.374819040298462
