scenario,K,rep,n_min,rmse_oracle,rmse_vaneb,rmse_npeb,rmse_adamix,rmse_fedavg,rmse_nocomm,vaneb_time,npeb_time,fedavg_time,nocomm_time
quadratic,50,0,40,0.09158816496381011,0.3946661493749847,0.39457588955386774,0.38321580035050806,2.858391026395118,0.39699830402686703,0.1275181770324707,0.07901692390441895,0.000240325927734375,0.0
quadratic,50,1,40,0.15408119970940562,0.35944484997040466,0.35790888264684667,0.3509893102463568,2.7895107160390755,0.36424620374899264,0.11383605003356934,0.06952309608459473,0.00011682510375976562,0.0
quadratic,50,2,40,0.1295779485108722,0.33448785133714,0.3329340303519595,0.34327535368421097,2.7174824988746007,0.34682605621252294,0.7607669830322266,4.6789000034332275,0.00014495849609375,9.5367431640625e-07
quadratic,50,3,40,0.11179365268786277,0.3857751112817719,0.38421783783102187,0.3740960147509576,2.797471645799376,0.3817172117643884,0.12982511520385742,0.055055856704711914,0.00013184547424316406,0.0
quadratic,50,4,40,0.12335583629480679,0.31845654289665076,0.3209788073913903,0.3081074038699657,2.540436633491157,0.32665035983008095,0.43767786026000977,3.3637430667877197,0.00011706352233886719,9.5367431640625e-07
quadratic,50,5,40,0.13629939657845552,0.388462354613204,0.3908518228823874,0.3522713957036016,2.426896438563468,0.3924084087052775,0.2912452220916748,0.13315105438232422,0.00024008750915527344,9.5367431640625e-07
quadratic,50,6,40,0.3142081548541358,0.4005397578375493,0.4041822977756304,0.3619910311360157,2.9085702368269537,0.40198742158546097,0.12645792961120605,0.08361220359802246,0.00011897087097167969,3.0994415283203125e-06
quadratic,50,7,40,0.1448613746831802,0.3398956781876577,0.3461836020519466,0.32657751351562403,2.794565203335233,0.3499126981332035,0.6977100372314453,3.106470823287964,0.00010085105895996094,1.1920928955078125e-06
quadratic,50,8,40,0.18353629625855536,0.3343134220736693,0.34000000852692747,0.3301444347596075,2.845722236082735,0.3394702575647772,0.11467981338500977,0.05380511283874512,0.0003001689910888672,0.0
quadratic,50,9,40,0.13286032572843406,0.3048371591507885,0.3004302058824144,0.31271372145556015,2.509238921252126,0.3039404685974303,0.16196107864379883,0.0996091365814209,0.00011992454528808594,0.0
